nid,vid,title,author_uid,spec_type,display_name,marketing_tagline,featured_image,elevation,floorplan,community,mls_number,price,marketing_flag,date_sold,Incentive,Incentive (short),hers_index_score,address,city,state,zip_code,latitude,longitude,body,content_image,square_feet,bedrooms,full_baths,half_baths,floors,garage(s),master,downloadable_brochure,property_video,marketing_images,school(s),highlight _news,highlight_news_background_color,featured_image_alt_text,featured_image_title_text,content_image_alt_text,content_image_title_text,status,post_date,updated_date,promoted_to_front_page,sticky,source,path
3720,3729,530 Curlew Circle (Lot 145),199,Move-In Ready Homes,,,24963,Davenport II A,Davenport II,Heritage Bay,1000029152,226000,Quick Move-in,2019-06-06 0:00:00,,,,,Sumter,SC,29150,33.93,-80.41,,,2125,4,2,,2,2,,,,,"Millwood Elementary,Alice Drive Middle School,Sumter High School",,,,,,,1,1559846494,1562083455,0,0,node/3720,/properties/530-curlew-circle-lot-145
3719,3728,150 Decoy Court (Lot 6),199,Move-In Ready Homes,,,16097,Bentgrass C,Bentgrass - all brick,Woodridge,1000029149,215500,Sold,2019-05-20 0:00:00,,,,,Sumter,SC,29150,33.92,-80.4,,,2272,5,3,,2,2,,,,,"Millwood Elementary,Alice Drive Middle School,Sumter High School",,,,,,,1,1559846081,1560369372,0,0,node/3719,/properties/150-decoy-court-lot-6
3718,3727,3648 Moseley Drive (Lot 98),199,Move-In Ready Homes,,,24849,Bentgrass A,Bentgrass - all brick,Stafford Meadows,1000029147,207500,Normal,2019-06-06 0:00:00,,,,,Sumter,SC,29154,33.93,-80.44,,,2272,5,3,,2,2,,,,,"Cherryvale Elementary School,Furman Middle School,Lakewood High School",,,,,,,1,1559845888,1561570310,0,0,node/3718,/properties/3648-moseley-drive-lot-98
3717,3726,3765 Moseley Drive (Lot 78),199,Move-In Ready Homes,,,24850,Porter B,Porter,Stafford Meadows,1000029146,208500,Normal,2019-06-06 0:00:00,,,,,Sumter,SC,29154,33.93,-80.44,,,2250,4,2,1,2,2,,,,,"Cherryvale Elementary School,Furman Middle School,Lakewood High School",,,,,,,1,1559845679,1561570398,0,0,node/3717,/properties/3765-moseley-drive-lot-78
3716,3725,110 Drummond Way,191,Move-In Ready Homes,110 Drummond Way,Master Down!,24496,Buckley A,Buckley,Brookstone,,209449,Normal,2019-06-06 0:00:00,,,,110 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,1748,3,2,1,2,2,,,,24497|24498|24499|24500|24501|24502|24503|24504|24505,,,,,,,,1,1559829835,1559831152,0,0,node/3716,/properties/110-drummond-way
3715,3724,114 Drummond Way,191,Move-In Ready Homes,114 Drummond Way,One Level,24522,Dahlia C,Dahlia,Brookstone,,208336,Sold,2019-06-06 0:00:00,,,,114 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,1661,3,2,,1,2,,,,24523|24525|24526|24527|24528,,,,,,,,1,1559829736,1562179465,0,0,node/3715,/properties/114-drummond-way
3714,3723,122 Drummond Way,191,Move-In Ready Homes,122 Drummond Way,4 Bedrooms,24506,Harper B,Harper,Brookstone,,213237,Normal,2019-06-06 0:00:00,,,,122 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,1861,3,2,1,2,2,,,,24507|24508|24509|24510|24511|24512|24513|24514|24515|24516|24517|24518|24519|24520,,,,,,,,1,1559829633,1559831477,0,0,node/3714,/properties/122-drummond-way
3713,3722,126 Drummond Way,191,Move-In Ready Homes,126 Drummond Way,Simply Gorgeous!,24521,Porter F,Porter,Brookstone,,235773,Normal,2019-06-06 0:00:00,,,,126 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,2250,4,2,1,2,2,,,,,,,,,,,,1,1559829508,1559845396,0,0,node/3713,/properties/126-drummond-way
3712,3721,130 Drummond Way,191,Move-In Ready Homes,130 Drummond Way,Fabulous Master Suite!,24529,Bentgrass D,Bentgrass - all brick,Brookstone,,231213,Normal,2019-06-06 0:00:00,,,,130 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,2272,5,3,,2,2,,,,,,,,,,,,1,1559829341,1559845643,0,0,node/3712,/properties/130-drummond-way
3711,3720,135 Drummond Way,191,Move-In Ready Homes,135 Drummond Way,Ranch Style Plan!,24530,Annaberry B,Annaberry,Brookstone,,193357,Normal,2019-06-06 0:00:00,,,,135 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,1558,3,2,0,1,2,,,,,,,,,,,,1,1559829188,1559845715,0,0,node/3711,/properties/135-drummond-way
3710,3719,131 Drummond Way,191,Move-In Ready Homes,131 Drummond Way,One level living!,24495,Dillon B2,Dillon,Brookstone,,207474,Normal,2019-06-06 0:00:00,,,,131 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,1686,3,2,,1,2,,,,,,,,,,,,1,1559829076,1559830546,0,0,node/3710,/properties/131-drummond-way
3709,3718,123 Drummond Way,191,Move-In Ready Homes,123 Drummond Way,Open Concept!,24531,Bentgrass F,Bentgrass - all brick,Brookstone,,232513,Normal,2019-06-06 0:00:00,,,,123 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,2272,5,3,,2,2,,,,,,,,,,,,1,1559828936,1559845909,0,0,node/3709,/properties/123-drummond-way
3708,3717,115 Drummond Way,191,Move-In Ready Homes,115 Drummond Way,5 Bedrooms!,24532,Bradley B,Bradley I,Brookstone,,257609,Normal,2019-06-06 0:00:00,,,,115 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,3040,5,3,,2,2,,,,,,,,,,,,1,1559828818,1559846047,0,0,node/3708,/properties/115-drummond-way
3707,3716,Rocky Ridge Model Home,255,Move-In Ready Homes,,,24493,Aberdeen A,Aberdeen,Rocky Ridge,,,Normal,2019-06-05 0:00:00,,,,,Seneca,SC,29678,,,,,2394,4,3,1,2,2,,,,,,,,,,,,0,1559748779,1559748779,0,0,node/3707,/properties/rocky-ridge-model-home
3706,3715,Cross Creek Model Home,255,Move-In Ready Homes,,,24490,Aberdeen A,Aberdeen,Cross Creek Plantation,,,Normal,2019-06-05 0:00:00,,,,,Seneca,SC,29678,,,,,2394,4,3,1,2,2,,,,,,,,,,,,0,1559746339,1559746339,0,0,node/3706,/properties/cross-creek-model-home
3705,3714,247 Cedar Hollow Lane - Lot 18,1841,Move-In Ready Homes,The Beautiful Beaumont,,24462,Beaumont B,Beaumont,Cedar Mill,472798,335365,Normal,,,,,247 Cedar Hollow Lane,Irmo,SC,29063,34.13,-81.24,,,3249,5,3,,2,2,,,,24463|24464|24465|24466|24467|24468|24469|24470|24471|24472|24473|24474|24475|24476|24477|24478|24479|24480|24481|24482|24483|24484,"Elementary Schools,Ballentine Elementary School,Middle Schools,Dutch Fork Middle School,High Schools,Dutch Fork High School",,,,,,,1,1559680205,1559680205,0,0,node/3705,/properties/247-cedar-hollow-lane-lot-18
3704,3713,"202 Viewmont Drive Duncan, SC 29334",351,Move-In Ready Homes,,,24445,Hidden Creek B,Hidden Creek,Wilson Farms,,203733,Normal,,,,,,Duncan,SC,29334,34.89,-82.12,,,1694,3,2,1,2,2,,,https://vimeo.com/317386925,24446|24447|24448|24449|24450|24451|24452|24453|24454|24455|24456|24457|24458|24459|24460,,,,,,,,1,1559589181,1562872519,0,0,node/3704,/properties/202-viewmont-drive-duncan-sc-29334
3703,3712,238 Hilton View Court,260,Move-In Ready Homes,,Edisto F! Room Over! Side Entry Garage!,24367,Edisto F,Edisto,Estates at Hilton,,350563,Now Available,2019-05-29 0:00:00,,,,238 Hilton View Court,Chapin,SC,29036,34.1,-81.29,,,2531,3,2,1,2,2,,,,24381|24382|24383|24384|24385|24386|24387|24388|24389|24390|24391|24392|24393|24394|24395|24396|24397|24398|24399|24400|24401|24402|24403|24404|24405|24406|24407|24408|24409|24410|24411|24420|24421|24422|24423|24424|24425,,,,,STOCK,,,1,1559162954,1562521625,0,0,node/3703,/properties/238-hilton-view-court
