nid,vid,title,author_uid,spec_type,display_name,marketing_tagline,featured_image,elevation,floorplan,community,mls_number,price,marketing_flag,date_sold,Incentive,Incentive (short),hers_index_score,address,city,state,zip_code,latitude,longitude,body,content_image,square_feet,bedrooms,full_baths,half_baths,floors,garage(s),master,downloadable_brochure,property_video,marketing_images,school(s),highlight _news,highlight_news_background_color,featured_image_alt_text,featured_image_title_text,content_image_alt_text,content_image_title_text,status,post_date,updated_date,promoted_to_front_page,sticky,source,path
3758,3767,138 Drummond Way,191,Move-In Ready Homes,138 Drummond Way,Perfect Ranch Style Plan,25022,Aster C,Aster,Brookstone,,225786,Normal,2019-07-03 0:00:00,,,,138 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,1908,3,2,0,1,2,,,,,,,,,,,,1,1562179063,1562179063,0,0,node/3758,/properties/138-drummond-way
3757,3766,142 Drummond Way,191,Move-In Ready Homes,142 Drummond Way,Incredible Master,25021,Davenport A,Davenport,Brookstone,,226588,Normal,2019-07-03 0:00:00,,,,142 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,2101,4,2,1,2,2,,,,,,,,,,,,1,1562178384,1562178384,0,0,node/3757,/properties/142-drummond-way
3756,3765,148 Drummond Way,191,Move-In Ready Homes,148 Drummond Way,One story floor plan!,25020,Dahlia B,Dahlia,Brookstone,,201559,Normal,2019-07-03 0:00:00,,,,148 Drummond Way,Lexington,SC,29072,33.96,-81.25,,,1661,3,2,,1,2,,,,,,,,,,,,1,1562177430,1562177430,0,0,node/3756,/properties/148-drummond-way
3755,3764,59 Windy Lane,255,Move-In Ready Homes,,,25014,Bay Breeze II A,Bay Breeze,Litchfield Breezes,1914451,446400,Normal,2019-07-03 0:00:00,,,,59 Windy Lane,Pawleys Island,SC,29585,33.46,-79.11,"<p><strong>New raised beach home across from the marsh in Litchfield Breezes! Under construction. Great features of the home include tankless hotwater heater, 10' ceilings, crown molding, recessed lighting, hardwood flooring and more! Kitchen has granite countertops, tile backsplash, gas range, and stainless steel appliances. Cable and high speed internet are included in HOA. Sit on your front porch and enjoy breezes off beautiful Litchfield Creek. Litchfield is located just 70 miles for a day trip to historic Charleston, SC or 25 miles to the attractions of Myrtle Beach!</strong></p>",,2210,4,4,,3,2,,,,25015|25016|25017|25018|25019,,,,,,,,1,1562176242,1562176342,0,0,node/3755,/properties/59-windy-lane
3754,3763,986 Yellowstone,171,Move-In Ready Homes,,,25013,Bradley A,Bradley I,Olde Mill,,245766,Normal,2019-07-03 0:00:00,,,,986 Yellowstone Dr,Florence,SC,29505,34.15,-79.75,,,3040,5,3,,2,2,,,,,"Greenwood Elementary School,Southside Middle School,South Florence High School",,,,,,,1,1562162488,1562162488,0,0,node/3754,/properties/986-yellowstone
3753,3762,2817 Olde Mill Rd,171,Move-In Ready Homes,,,25012,Porter D2 (Brick Front),Porter,Olde Mill,,232074,Normal,2019-07-03 0:00:00,,,,2817 Olde Mill Rd,Florence,SC,29505,34.15,-79.75,,,2250,4,2,1,2,2,,,,,"Greenwood Elementary School,Southside Middle School,South Florence High School",,,,,,,1,1562161982,1562161982,0,0,node/3753,/properties/2817-olde-mill-rd
3752,3761,1098 Yelowstone Dr,171,Move-In Ready Homes,,,25011,Bentgrass E2 (Brick Front),Bentgrass - all brick,Olde Mill,,224219,Normal,2019-07-03 0:00:00,,,,1098 Yellowstone Dr,Florence,SC,29505,34.15,-79.75,,,2272,5,3,,2,2,,,,,"Greenwood Elementary School,Southside Middle School,West Florence High School",,,,,,,1,1562161551,1562161551,0,0,node/3752,/properties/1098-yelowstone-dr
3751,3760,"Regatta Forest, Lot 46",59,Move-In Ready Homes,"274 Regatta Forest Drive, Lot 46, Columbia, SC 29212",Dramatic views of Lake Murray,24999,Magnolia C3,Magnolia,Regatta Forest,,354783,Hot Deal,,,What a View!,,"274 Regatta Forest Drive, Lot 46",Columbia,SC,29212,34.08,-81.24,,,2510,4,3,0,1,2,"Main, 1st Floor",,,,,,,,,,,1,1562146779,1563541445,0,0,node/3751,/properties/regatta-forest-lot-46
3750,3759,206 Fern Hollow Way,1126,Move-In Ready Homes,,,24965,Mountain Crest D (End Unit),Mountain Crest,Whispering Pines,,213158,Sold,2019-07-31 0:00:00,,,,206 Fern Hollow Way,Mauldin,SC,29662,34.79,-82.31,,,1928,4,2,1,2,1,"Main, 1st Floor",,,24966|24967|24968|24969|24970|24971|24972|24973|24974|24975,"Greenbrier Elementary,Mauldin Middle School,Mauldin High School",,,,,,,1,1562084414,1562084547,0,0,node/3750,/properties/206-fern-hollow-way-0
3749,3758,8 Bamburg Court,58,Move-In Ready Homes,8 Bamburg Court,"Live Green, Live Smart!",24962,Bentgrass B,Bentgrass - all brick,Regal Woods,474816,208900,Sold,2019-07-11 0:00:00,,,,,Camden,SC,29045,34.19,-80.82,,,2272,5,3,,2,2,,,,,,,,,,,,1,1562081838,1563019681,0,0,node/3749,/properties/8-bamburg-court
3748,3757,640 Teaberry Drive (Lot 118),215,Move-In Ready Homes,,,24937,Bentgrass C,Bentgrass - all brick,Hawthorne Ridge,,218211,Now Available,,,,,640 Teaberry Drive,Columbia,SC,29229,34.17,-80.92,,,2272,5,3,,2,2,,,,24938|24939|24940|24941|24942|24943|24944|24945|24946|24947|24948|24949|24950|24951|24952|24953|24954|24955,,,,,,,,1,1561989074,1561989304,0,0,node/3748,/properties/640-teaberry-drive-lot-118
3747,3756,3 Sixty Oaks Lane,57,Move-In Ready Homes,3 Sixty Oaks Lane,"Live Green, Live Smart!",24923,Yorkshire G,Yorkshire G,Fair Havens,471439,414000,Now Available,2019-06-30 0:00:00,,,,,Elgin,SC,29045,34.2,-80.75,,,,,,,,,,,,,,,,,,,,1,1561914097,1563476658,0,0,node/3747,/properties/3-sixty-oaks-lane
3746,3755,517 Holland Road,211,Move-In Ready Homes,517 Holland Road,"One Level High-Tech, Smart Home w/ Hardwoods in LR, DR, & Kitchen",25046,Annaberry B,Annaberry,Blythewood Crossing,,188500,Sold,,,,,517 Holland Road,Blythewood,SC,29016,34.16,-80.97,,,1558,3,2,0,1,2,"Main, 1st Floor",,,,,,,,,,,1,1561671760,1563813342,0,0,node/3746,/properties/517-holland-road
3745,3754,1294 Chestnut Rd,58,Move-In Ready Homes,1294 Chestnut Rd,"Live Green, Live Smart!",24887,Beaujolais C,Beaujolais,Chestnut Grove,474433,278626,Normal,,,,,,Elgin,SC,29045,34.2,-80.79,,,3124,5,3,,2,2,,,,,,,,,,,,1,1561655818,1561655818,0,0,node/3745,/properties/1294-chestnut-rd
