"tid","title","school_type","school_district","quadrant","term_description","weight","parent"
"921","Hillcrest High School","High School","Greenville County Schools","Greenville","","164","14"
"1430","Hillcrest Middle","Middle School","Greenville County Schools","Simpsonville","","110","13"
"1427","Hopkins Elementary","Elementary School","Richland 1","Columbia Downtown / Southeast","","43","12"
"114","Hopkins Middle School","Middle School","Richland 1","Columbia Downtown / Southeast","","111","13"
"115","Irmo  Middle School","Middle School","District 5 of Richland and Lexington Counties","Irmo / Ballentine / Chapin","","112","13"
"71","Irmo Elementary School","Elementary School","District 5 of Richland and Lexington Counties","Irmo / Ballentine / Chapin","","44","12"
"92","Irmo High School","High School","District 5 of Richland and Lexington Counties","Irmo / Ballentine / Chapin","","165","14"
"1175","J. F. Brynes High School","High School","District 5 Schools of Spartanburg County","Spartanburg","","166","14"
"1864","Jackson Elementary School","Elementary School","Kershaw County","Camden","","45","12"
"93","Johnson High School","High School","Richland 1","Columbia Downtown / Southeast","","167","14"
"116","Kelly Mill Middle School","Middle School","Richland 2","NE Columbia / Blythewood","","113","13"
"1086","Kennedy Middle School","Middle School","Aiken County","Aiken","","114","13"
"72","Killian Elementary School","Elementary School","Richland 2","NE Columbia / Blythewood","","46","12"
"73","Kingsbury Elementary School","Elementary School","Sumter County","Sumter","","47","12"
"74","Lake Carolina Elementary School","Elementary School","Richland 2","NE Columbia / Blythewood","","48","12"
"18","Lake Murray Elementary School","Elementary School","District 5 of Richland and Lexington Counties","Irmo / Ballentine / Chapin","","49","12"
"94","Lakewood High School","High School","Sumter County","Sumter","","168","14"
"75","Leaphart Elementary School","Elementary School","District 5 of Richland and Lexington Counties","Irmo / Ballentine / Chapin","","50","12"
"722","Leavelle McCampbell Middle School","Middle School","Aiken County","Aiken","","115","13"
"117","Leslie M Stover Middle School","Middle School","Kershaw County","NE Columbia / Blythewood","","116","13"
"2065","Lexington Elementary","Elementary School","Lexington 1","Lexington / West Columbia","","51","12"
"1152","Lexington High School","High School","Lexington 1","Lexington / West Columbia","","169","14"
"1151","Lexington Middle School","Middle School","Lexington 1","Lexington / West Columbia","","117","13"
"1976","Little Mountain Elementary","Elementary School","Newberry County School District","Chapin","","52","12"
"2058","Longleaf Middle School","Middle School","Richland 2","NE Columbia / Blythewood","","118","13"
"95","Lower Richland High School","High School","Richland 1","Columbia Downtown / Southeast","","171","14"
"952","Lucy T Davis Elementary","Elementary School","Florence 01","Florence","","53","12"
"96","Lugoff-Elgin High School","High School","Kershaw County","NE Columbia / Blythewood","","170","14"
"118","Lugoff-Elgin Middle School","Middle School","Kershaw County","NE Columbia / Blythewood","","119","13"
"924","Mauldin High School","High School","Greenville County Schools","Greenville","","172","14"
"2048","Mauldin Middle School","Middle School","Greenville County Schools","Mauldin","","120","13"
"76","Meadow Glen Elementary School","Elementary School","Lexington 1","Lexington / West Columbia","","54","12"
"119","Meadow Glen Middle School","Middle School","Lexington 1","Lexington / West Columbia","","121","13"
"1978","Mid-Carolina High","High School","Newberry County School District","Chapin","","173","14"
"1977","Mid-Carolina Middle","Middle School","Newberry County School District","Chapin","","122","13"
"13","Middle Schools","","","","","86","0"
"723","Midland Valley High School","High School","Aiken County","Aiken","","174","14"
"1946","Midway Elementary","Elementary School","Lexington 1","Lexington / West Columbia","","55","12"
"1423","Millwood Elementary","Elementary School","Sumter County","Sumter","","56","12"
"120","Muller Road Middle School","Middle School","Richland 2","NE Columbia / Blythewood","","123","13"
"2046","Northside Elementary","Elementary School","Oconee County","Clemson","","57","12"
"1314","Northside Middle","Middle School","Richland 2","Lexington / West Columbia","","124","13"
"1444","Oak Grove Elementary","Elementary School","Lexington 1","Lexington / West Columbia","","58","12"
"1480","Oakland Elementary","Elementary School","Spartanburg District 2","Boiling Springs","","59","12"
"77","Oakland Primary/Shaw Heights/High Hills Elementary","Elementary School","Sumter County","Sumter","","60","12"
"1356","Parkway Elementary","Elementary School","Greenbrier School District","Augusta","","61","12"
"1160","Pelion High School","High School","Lexington 1","Lexington / West Columbia","","175","14"
"1159","Pelion Middle School","Middle School","Lexington 1","Lexington / West Columbia","","125","13"
"1677","Pendleton Elementary","Elementary School","Anderson School District 4","Clemson","","62","12"
"1679","Pendleton High School","High School","Anderson School District 4","Clemson","","176","14"
"121","Perry Middle School","Middle School","Richland 1","Columbia Downtown / Southeast","","126","13"
"1309","Pine Grove Elementary","Elementary School","Richland 1","St. Andrews","","63","12"
"1169","Pine Ridge Middle School","Middle School","Lexington 2","Lexington / West Columbia","","127","13"
"1351","Pine Tree Hill Elementary School","Elementary School","Kershaw County","Camden","","64","12"
"1313","Pineview Elementary","Elementary School","Richland 2","Lexington / West Columbia","","65","12"
"1429","Plain Elementary","Elementary School","Greenville County Schools","Simpsonville","","66","12"
"1334","Pleasant Hill Middle","Middle School","Lexington 1","Lexington / West Columbia","","128","13"
"78","Pocalla Springs Elementary School","Elementary School","Sumter County","Sumter","","67","12"
"79","Polo Road Elementary School","Elementary School","Richland 2","NE Columbia / Blythewood","","68","12"
"80","Pontiac Elementary School","Elementary School","Richland 2","NE Columbia / Blythewood","","69","12"
"1138","R. C. Edwards Middle","Middle School","Pickens County","Clemson","","129","13"
"2074","Ravenel Elementary","Elementary School","Pickens County","Clemson","","70","12"
"81","Red Bank Elementary School","Elementary School","Lexington 1","Lexington / West Columbia","","71","12"
"82","Rice Creek Elementary School","Elementary School","Richland 2","NE Columbia / Blythewood","","72","12"
"1143","Richard H. Gettys Middle","Middle School","Pickens County","Easley","","130","13"
"97","Richland NE High School","High School","Richland 2","Columbia Downtown / Southeast","","177","14"
"98","Ridgeview High School","High School","Richland 2","NE Columbia / Blythewood","","178","14"
"99","River Bluff High School","High School","Lexington 1","Lexington / West Columbia","","179","14"
"708","River Springs Elementary","Elementary School","District 5 of Richland and Lexington Counties","Irmo / Ballentine / Chapin","","73","12"
"1678","Riverside Middle School","Middle School","Anderson School District 4","Clemson","","131","13"
"1150","Rocky Creek Elementary","Elementary School","Lexington 1","Lexington / West Columbia","","74","12"
"715","Sandhills Middle School","Middle School","Lexington 4","Columbia Downtown / Southeast","","132","13"
"725","Savannah Grove Elementary School","Elementary School","Florence 01","Florence","","75","12"
"83","Saxe Gotha Elementary School","Elementary School","Lexington 1","Lexington / West Columbia","","76","12"
"122","Saxe Gotha Middle School","Middle School","Lexington 1","Lexington / West Columbia","","133","13"
"1126","Sedgefield Intermediate","Middle School","Berkeley County","N. Charleston / Goose Creek","","134","13"
"1228","Seneca High","High School","Oconee County","Clemson","","180","14"
"1227","Seneca Middle","Middle School","Oconee County","Clemson","","135","13"
"2186","Shaw Heights Elementary","Elementary School","Sumter County","Sumter","","77","12"
"730","Sneed Middle School","Middle School","Florence 01","Florence","","136","13"
"1087","South Aiken High School","High School","Aiken County","Aiken","","181","14"
"727","South Florence High School","High School","Florence 01","Florence","","182","14"
"726","Southside Middle School","Middle School","Florence 01","Florence","","137","13"
"100","Spring Valley High School","High School","Richland 2","NE Columbia / Blythewood","","183","14"
